Wall time,Step,Value
1745244005,800,-10.50369072
1745244024,1600,-2.553853273
1745244044,2400,-1.748471856
1745244063,3200,-1.914611936
1745244107,4000,3.816398859
1745244129,4800,1.750298142
1745244151,5600,1.752639651
1745244172,6400,-0.763049185
1745244194,7200,-3.34445405
1745244215,8000,1.34081471
1745244236,8800,2.964361668
1745244259,9600,1.498590946
1745244280,10400,2.948528767
1745244303,11200,6.668083191
1745244325,12000,-0.745339394
1745244345,12800,3.902769566
1745244364,13600,2.46109581
1745244384,14400,-2.496732235
1745244403,15200,3.41544795
1745244423,16000,1.055294394
1745244442,16800,0.704270601
1745244462,17600,2.953570604
1745244481,18400,4.560830593
1745244501,19200,1.444621325
1745244521,20000,-1.150989175
1745244540,20800,-0.494946182
1745244560,21600,-1.010163426
1745244579,22400,-0.928738415
1745244600,23200,-1.454269171
1745244661,24000,1.966824651
1745244720,24800,1.853085399
1745244779,25600,3.071598768
1745244842,26400,3.919101
1745244904,27200,0.932097077
1745244962,28000,2.570126772
1745245022,28800,1.948960662
1745245082,29600,-0.319865078
1745245141,30400,4.344891548
1745245197,31200,4.317051888
1745245256,32000,5.688682556
1745245317,32800,0.611661613
1745245375,33600,2.051403284
1745245436,34400,2.977629662
1745245497,35200,2.969162464
1745245556,36000,4.936752319
1745245619,36800,6.265007019
1745245679,37600,-1.771218777
1745245737,38400,-0.06975925
1745245796,39200,0.258629084
1745245854,40000,0.900803149
1745245912,40800,1.43454206
1745245969,41600,3.504853725
1745246025,42400,3.622218609
1745246085,43200,0.544167757
1745246145,44000,-0.218678623
1745246205,44800,1.286855102
1745246264,45600,2.925420523
1745246324,46400,2.35024333
1745246380,47200,2.948327065
1745246441,48000,3.014069557
1745246498,48800,-1.192659855
1745246556,49600,1.103272438
1745246615,50400,1.757653356
1745246672,51200,3.926617146
1745246731,52000,5.996398926
1745246792,52800,3.621787071
1745246824,53600,2.352991581
1745246884,54400,4.839360237
1745246945,55200,0.122078903
1745247007,56000,4.158781528
1745247065,56800,4.041710377
1745247123,57600,-2.63953042
1745247181,58400,0.268136144
1745247238,59200,5.070569038
1745247301,60000,3.242480993
1745247359,60800,0.301278055
1745247419,61600,1.987667322
1745247481,62400,-0.373827517
1745247539,63200,4.498282909
1745247601,64000,2.54813385
1745247660,64800,2.258517265
1745247716,65600,5.270030022
1745247774,66400,0.445235163
1745247831,67200,1.542352438
1745247859,68000,6.142026901
1745247880,68800,5.228572369
1745247900,69600,-1.454366446
1745247918,70400,7.044645309
1745247937,71200,1.180958509
1745247957,72000,-1.878720999
1745247975,72800,2.840521812
1745247996,73600,7.48239851
1745248015,74400,5.722742558
1745248034,75200,0.199711233
1745248053,76000,-0.412157506
1745248072,76800,2.764955044
1745248091,77600,0.248015091
1745248109,78400,2.138297558
1745248128,79200,0.059089579
1745248147,80000,4.188506126
1745248166,80800,-1.892923117
1745248185,81600,-0.585359335
1745248206,82400,-0.750695407
1745248226,83200,0.151786551
1745248244,84000,1.989008188
1745248264,84800,1.717728376
1745248283,85600,0.83155036
1745248302,86400,5.247811317
1745248322,87200,1.652462959
1745248342,88000,7.467576981
1745248362,88800,-4.61463356
1745248381,89600,-0.12263383
1745248401,90400,1.761561036
1745248421,91200,4.666903496
1745248440,92000,0.691812336
1745248459,92800,3.494920254
1745248479,93600,2.148813963
1745248498,94400,-0.724231541
1745248518,95200,-0.845315278
1745248537,96000,3.550252676
1745248556,96800,3.415925264
1745248576,97600,2.946454763
1745248596,98400,1.928507328
1745248616,99200,-1.963058352
1745248635,100000,0.937350035
