Step,Value
800,-8.061963081
1600,-3.219871759
2400,-1.324695349
3200,2.533288002
4000,0.605560184
4800,3.266102791
5600,4.692811489
6400,2.580143452
7200,2.026396513
8000,2.774121046
8800,3.627899647
9600,1.586468935
10400,3.18637538
11200,1.128587365
12000,0.782393932
12800,0.937596917
13600,4.063956738
14400,6.86184454
15200,1.206969142
16000,3.321268082
16800,-0.580388606
17600,5.076158047
18400,3.478879929
19200,-1.147085309
20000,1.912406325
20800,4.610391617
21600,0.396056175
22400,-2.383489847
23200,0.246187642
24000,3.399652481
24800,-2.199333191
25600,0.5870803
26400,0.536564946
27200,3.060216665
28000,6.427018166
28800,2.622665644
29600,0.898432434
30400,0.089802846
31200,1.851855636
32000,1.484083772
32800,4.785943508
33600,5.135545254
34400,0.220138595
35200,2.69533205
36000,0.88581115
36800,1.55496335
37600,5.970314026
38400,3.053539991
39200,3.865927458
40000,2.282460213
40800,5.860934734
41600,2.209570646
42400,2.933292866
43200,0.743798614
44000,0.501631498
44800,-1.172071218
45600,4.113901138
46400,6.222947598
47200,1.007858872
48000,-2.181565285
48800,3.787027597
49600,1.396362305
50400,1.248980045
51200,-0.348476142
52000,3.355302334
52800,1.381296873
53600,-1.144841194
54400,0.129999682
55200,-1.510956764
56000,1.846018553
56800,4.507740021
57600,4.047814369
58400,1.830731034
59200,2.311475754
60000,1.21379137
60800,-0.748441935
61600,1.289516926
62400,3.150206566
63200,3.477747202
64000,3.465524197
64800,4.137380123
65600,1.49703598
66400,2.542511463
67200,-0.333615899
68000,1.538131595
68800,1.991105556
69600,-0.06328667
70400,-1.34743607
71200,-0.342907071
72000,2.223696232
72800,-0.393929124
73600,3.894846916
74400,-0.382718384
75200,-2.109703541
76000,-0.13413316
76800,0.821143985
77600,1.580918312
78400,-3.419532776
79200,1.848409891
80000,0.524851859
80800,0.694745898
81600,2.057280302
82400,5.104571342
83200,-1.366616964
84000,4.769660473
84800,0.235957503
85600,2.512145996
86400,0.480150312
87200,1.550585151
88000,-0.09987624
88800,1.031186342
89600,0.078892127
90400,-0.593044817
91200,4.139489651
92000,3.344575644
92800,4.245812416
93600,1.868714452
94400,3.763390064
95200,-1.898313999
96000,2.964545727
96800,4.900829315
97600,-0.119339347
98400,0.511594474
99200,3.86392045
100000,6.149138451
