Step,Value,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
800,-11.25253677,,,,,
1600,-2.421808481,,,,,
2400,2.169949055,,,,,
3200,2.701216221,,,,,
4000,2.093348742,,,,,
4800,3.951654673,,,,,
5600,1.650076509,,,,,
6400,2.90875268,,,,,s
7200,5.670181751,,,,,
8000,2.205028057,,,,,
8800,0.032910898,,,,,
9600,2.281279087,,,,,
10400,3.581085443,,,,,
11200,8.051930428,,,,,
12000,5.609836102,,,,,
12800,2.081259966,,,,,
13600,-1.644747853,,,,,
14400,4.193397522,,,,,
15200,0.37225467,,,,,
16000,3.754600048,,,,,
16800,-0.02321779,,,,,
17600,-0.18049553,,,,,
18400,1.631729484,,,,,
19200,2.696061611,,,,,
20000,-1.627222419,,,,,
20800,2.179570436,,,,,
21600,1.192233801,,,,,
22400,-1.050711274,,,,,
23200,0.112660423,,,,,
24000,0.590185046,,,,,
24800,2.867558241,,,,,
25600,6.848672867,,,,,
26400,2.586681843,,,,,
27200,1.053480864,,,,,
28000,2.006183863,,,,,
28800,3.719358683,,,,,
29600,1.352686882,,,,,
30400,2.04872942,,,,,
