Step,DQN_v0,DQN_v1,DQN_v2,Mean,CI_lower,CI_upper
56,,,-22.23846054,-22.23846054,,
96,,,-17.03198433,-17.03198433,,
112,,-12.62064266,,-12.62064266,,
176,,-9.108529091,-8.64093399,-8.874731540500001,-9.077206158575576,-8.672256922424426
216,,,-7.845216751,-7.845216751,,
224,,-14.96598816,,-14.96598816,,
229,-6.362889767,,,-6.362889767,,
264,,-9.626177788,,-9.626177788,,
288,,,-11.09148407,-11.09148407,,
296,,-10.91333771,,-10.91333771,,
344,,-9.970032692,-12.66283321,-11.316432951,-12.48244977895595,-10.15041612304405
376,,-8.777634621,,-8.777634621,,
384,,,-13.37452984,-13.37452984,,
416,,-9.708687782,,-9.708687782,,
432,,,-15.52647591,-15.52647591,,
448,,-8.347603798,,-8.347603798,,
468,-14.93360138,,,-14.93360138,,
480,,,-15.81016445,-15.81016445,,
488,,-9.544735909,,-9.544735909,,
512,,,-14.10005951,-14.10005951,,
536,,-9.959666252,,-9.959666252,,
560,,-9.320126534,,-9.320126534,,
608,,-11.48563004,,-11.48563004,,
632,,,-13.74261379,-13.74261379,,
664,,,-15.45362854,-15.45362854,,
672,,-10.40297031,,-10.40297031,,
677,-13.86140633,,,-13.86140633,,
720,,-10.49206543,,-10.49206543,,
736,,,-15.98702145,-15.98702145,,
752,,-10.27031803,,-10.27031803,,
776,,,-16.28985023,-16.28985023,,
824,,-10.01937866,-16.00894165,-13.014160154999999,-15.607717008453541,-10.420603301546457
872,,-8.79758358,,-8.79758358,,
880,,,-17.52171707,-17.52171707,,
928,-12.25065422,,-16.26599312,-14.25832367,-15.997016416101934,-12.519630923898065
936,,-10.36145687,,-10.36145687,,
984,,,-15.59537792,-15.59537792,,
992,,-10.97275448,,-10.97275448,,
1008,,,-14.53949356,-14.53949356,,
1032,,-11.02465057,,-11.02465057,,
1040,,,-14.00034523,-14.00034523,,
1064,,,-13.67001724,-13.67001724,,
1080,,-11.23370552,,-11.23370552,,
1117,-12.22309875,,,-12.22309875,,
1128,,-10.03831863,-13.84133911,-11.93982887,-13.586585043396246,-10.293072696603753
1152,,,-12.99595451,-12.99595451,,
1168,,-9.473296165,,-9.473296165,,
1176,,,-12.35269547,-12.35269547,,
1192,,-9.406200409,,-9.406200409,,
1216,,-9.372506142,-12.10462093,-10.738563536000001,-11.92160394223157,-9.555523129768432
1248,,-9.451827049,,-9.451827049,,
1264,,,-11.0138607,-11.0138607,,
1288,,-8.57895565,-9.43043232,-9.004693985,-9.37339419847489,-8.63599377152511
1310,-11.74148655,,,-11.74148655,,
1320,,,-9.948453903,-9.948453903,,
1336,,-7.862277508,,-7.862277508,,
1352,,-7.757225037,,-7.757225037,,
1368,,,-8.914784431,-8.914784431,,
1384,,-7.39679575,,-7.39679575,,
1392,,,-8.369693756,-8.369693756,,
1416,,-7.493833542,-8.376267433,-7.9350504875,-8.317155570883175,-7.552945404116825
1424,,-7.394921303,,-7.394921303,,
1456,,,-6.907583714,-6.907583714,,
1480,,-8.147251129,,-8.147251129,,
1496,,,-5.935939312,-5.935939312,,
1512,,-6.510177612,-5.942596912,-6.226387261999999,-6.472156914448877,-5.980617609551122
1552,,-5.423309803,,-5.423309803,,
1560,,,-6.665411472,-6.665411472,,
1565,-7.319516182,,,-7.319516182,,
1584,,-4.471203327,,-4.471203327,,
1616,,-2.730123997,-6.104559898,-4.4173419475,-5.8785155543541165,-2.956168340645883
1640,,-2.947401524,,-2.947401524,,
1656,,,-4.024199486,-4.024199486,,
1672,,-2.626190186,,-2.626190186,,
1696,,,-3.524101496,-3.524101496,,
1712,,-2.0046525,-2.38461709,-2.194634795,-2.359164288739269,-2.0301053012607304
1752,,,-2.515433311,-2.515433311,,
1768,-6.329658985,,,-6.329658985,,
1784,,-2.208280563,-0.577721238,-1.3930009005000001,-2.099053799413804,-0.686948001586196
1800,,-0.260492057,,-0.260492057,,
1840,,,-0.442167699,-0.442167699,,
1848,,0.953876436,,0.953876436,,
1856,,,-1.147811294,-1.147811294,,
1872,,1.736771107,,1.736771107,,
1896,,2.219038248,-1.583618879,0.3177096844999999,-1.3288891524319757,1.9643085214319753
1920,,,-1.089194059,-1.089194059,,
1944,,2.245303631,-1.104999661,0.5701519850000001,-0.8805718956273185,2.0208758656273185
1968,-5.585166454,2.540050983,-1.426586151,-1.4905672073333334,-3.978628182870513,0.9974937682038465
1992,,,-1.718694091,-1.718694091,,
2000,,2.238857269,,2.238857269,,
2032,,3.013711929,,3.013711929,,
2040,,,-2.0765903,-2.0765903,,
2056,,3.513118982,-1.548313379,0.9824028014999999,-1.209261700581327,3.174067303581327
2096,,4.485349178,-2.390384197,1.0474824905,-1.9297973956992613,4.024762376699261
2128,,4.178777695,-1.410517335,1.38413018,-1.0361055626130553,3.8043659226130555
2151,-4.202189922,,,-4.202189922,,
2168,,4.757590771,,4.757590771,,
2176,,,-2.875635862,-2.875635862,,
2184,,5.313579559,,5.313579559,,
2200,,,-1.9491539,-1.9491539,,
2224,,4.91910553,-1.265823245,1.8266411425000002,-0.851511577373687,4.504793862373687
2256,,5.248925209,,5.248925209,,
2264,,6.18312788,-1.259106398,2.462010741,-0.7605712318316731,5.684592713831673
2288,,,-1.112644076,-1.112644076,,
2304,,4.815013885,-0.125059277,2.344977304,0.20586287657713864,4.484091731422861
2341,-4.704752445,,,-4.704752445,,
2344,,4.488070011,-0.36317715,2.0624464304999997,-0.03820521023157042,4.16309807123157
2376,,,-0.365336359,-0.365336359,,
2384,,4.465693951,,4.465693951,,
2392,,,-1.323855042,-1.323855042,,
2400,,4.433686733,,4.433686733,,
2424,,,-0.582079709,-0.582079709,,
2440,,4.373453617,,4.373453617,,
2448,,4.400752068,,4.400752068,,
2472,,,-0.125175297,-0.125175297,,
2488,,4.234177113,,4.234177113,,
2496,,,0.758690476,0.758690476,,
2512,,3.653108597,,3.653108597,,
2520,,,0.800024509,0.800024509,,
2536,,,0.291244715,0.291244715,,
2544,,3.730085135,,3.730085135,,
2557,-5.085029602,,,-5.085029602,,
2560,,3.604840279,,3.604840279,,
2576,,,0.391293913,0.391293913,,
2600,,3.168171406,,3.168171406,,
2608,,,0.368895531,0.368895531,,
2624,,3.172488928,,3.172488928,,
2632,,,0.77353704,0.77353704,,
2656,,3.206844568,,3.206844568,,
2672,,,1.817476392,1.817476392,,
2688,,3.240087271,1.313803434,2.2769453525000003,1.442839983629318,3.111050721370683
2712,,3.212480307,,3.212480307,,
2728,,,1.479627013,1.479627013,,
2736,,,1.478099823,1.478099823,,
2744,,2.69886899,,2.69886899,,
2767,-4.183701038,,,-4.183701038,,
2768,,2.306878567,,2.306878567,,
2776,,,1.565942883,1.565942883,,
2808,,1.994783998,0.959912539,1.4773482685,1.0292357819272664,1.9254607550727334
2824,,,1.019352436,1.019352436,,
2832,,1.206544995,,1.206544995,,
2856,,0.805546701,,0.805546701,,
2864,,,0.620856702,0.620856702,,
2880,,-0.121555559,0.844665051,0.361554746,-0.0568310509600487,0.7799405429600487
2912,,,0.504390597,0.504390597,,
2920,,-0.945450664,,-0.945450664,,
2936,,-0.436440915,0.544719398,0.05413924150000002,-0.37071563662154605,0.47899411962154603
2968,,-0.411434859,,-0.411434859,,
2992,,,0.622991383,0.622991383,,
3001,-2.389170647,,,-2.389170647,,
3008,,,1.060488701,1.060488701,,
