Step,Value
56,-22.23846054
96,-17.03198433
176,-8.64093399
216,-7.845216751
288,-11.09148407
344,-12.66283321
384,-13.37452984
432,-15.52647591
480,-15.81016445
512,-14.10005951
632,-13.74261379
664,-15.45362854
736,-15.98702145
776,-16.28985023
824,-16.00894165
880,-17.52171707
928,-16.26599312
984,-15.59537792
1008,-14.53949356
1040,-14.00034523
1064,-13.67001724
1128,-13.84133911
1152,-12.99595451
1176,-12.35269547
1216,-12.10462093
1264,-11.0138607
1288,-9.43043232
1320,-9.948453903
1368,-8.914784431
1392,-8.369693756
1416,-8.376267433
1456,-6.907583714
1496,-5.935939312
1512,-5.942596912
1560,-6.665411472
1616,-6.104559898
1656,-4.024199486
1696,-3.524101496
1712,-2.38461709
1752,-2.515433311
1784,-0.577721238
1840,-0.442167699
1856,-1.147811294
1896,-1.583618879
1920,-1.089194059
1944,-1.104999661
1968,-1.426586151
1992,-1.718694091
2040,-2.0765903
2056,-1.548313379
2096,-2.390384197
2128,-1.410517335
2176,-2.875635862
2200,-1.9491539
2224,-1.265823245
2264,-1.259106398
2288,-1.112644076
2304,-0.125059277
2344,-0.36317715
2376,-0.365336359
2392,-1.323855042
2424,-0.582079709
2472,-0.125175297
2496,0.758690476
2520,0.800024509
2536,0.291244715
2576,0.391293913
2608,0.368895531
2632,0.77353704
2672,1.817476392
2688,1.313803434
2728,1.479627013
2736,1.478099823
2776,1.565942883
2808,0.959912539
2824,1.019352436
2864,0.620856702
2880,0.844665051
2912,0.504390597
2936,0.544719398
2992,0.622991383
3008,1.060488701
3040,1.082598209
3080,2.044591188
3112,2.524239063
3152,3.565364122
3176,3.355566978
3200,2.909303427
3224,1.965352178
3256,1.960007668
3304,3.404416561
3320,3.424376249
3352,3.045134068
3360,3.512341261
3432,4.668523788
3440,4.232483864
3480,4.188661098
3512,5.105099678
3528,5.05595541
3560,5.612539768
3592,5.629408836
3608,4.722426891
3640,4.56603384
3656,4.125026703
3688,3.654624939
3728,2.719529629
3744,2.73370862
3768,2.27657485
3808,1.778484106
3832,1.788735867
3864,1.887501121
3880,0.696431994
3928,0.309119284
3960,1.317571282
3976,1.337551594
4000,0.786150455
4048,-0.11418774
4072,0.667261422
4104,1.121590614
4136,1.548544049
4176,0.949384451
4200,1.985079885
4232,1.068593264
4256,1.21091938
4288,0.308670342
4312,0.308786154
4344,1.24564743
4368,1.748705149
4408,1.818086028
4440,2.244576454
4472,3.198059797
4480,2.566135883
4512,2.56234026
4536,1.607491732
4552,1.414616704
4584,0.857861221
4608,1.254674435
4640,1.252008319
4672,1.224653602
4696,1.67098999
4712,1.617325783
4760,1.618166327
4784,1.680980086
4800,1.219950914
4848,0.295511603
4872,0.309168756
4896,-0.220343366
4928,-0.17000553
4976,1.146518588
5000,2.002991676
5016,1.4177953
5064,0.921014428
5080,0.806559741
5112,2.16024518
5144,2.277756929
5176,2.271767139
5208,2.458160639
5248,3.398848057
5256,3.920691013
5288,4.132757187
5328,4.050773144
5344,4.116646767
5376,4.102307796
5424,4.106991291
5440,4.106991291
5504,5.564823151
5504,5.564823151
5544,5.043576717
5568,4.635278702
5600,5.569283009
5624,4.485657215
5640,4.943902493
5688,4.388391018
5704,4.420022011
5752,3.50462842
5768,4.562079906
5792,4.005416393
5832,3.635221958
5864,3.152616978
5880,3.597276926
5912,3.151746988
5928,2.684391499
5968,2.219758511
6008,2.680639267
6016,2.671074152
6064,1.835533381
6088,2.756229877
6104,2.728986025
6152,1.81737721
6168,2.750317812
6192,1.78783536
6240,1.325190544
6256,1.411785722
6304,1.877248883
6320,1.414266825
6360,2.041476011
6384,1.927252412
