Wall time,Step,Value
1741012805,1536,10.38045597
1741014815,3072,13.17753792
1741017156,4608,15.06745815
1741020663,6144,14.89971447
1741024261,7680,16.35134506
1741028217,9216,11.93794155
1741032081,10752,16.55419922
1741035941,12288,16.54669189
1741040053,13824,14.3686409
1741043852,15360,16.03203392
1741047917,16896,18.09916115
1741052115,18432,16.50069427
1741054471,19968,16.60428047
1741056555,21504,16.5589962
1741058744,23040,17.88977051
1741061064,24576,14.96930695
1741063604,26112,17.69873238
1741066148,27648,16.25366783
1741068577,29184,16.20640945
1741072146,30720,15.42511082
1741074750,32256,16.24878311
1741077304,33792,16.80674171
1741079845,35328,17.5880127
1741082472,36864,18.00416565
1741084997,38400,17.69139862
1741087632,39936,18.18854713
1741090340,41472,18.46050453
1741093005,43008,18.55620384
1741096253,44544,18.58315086
1741101396,46080,18.97564507
1741106443,47616,19.38126373
1741111608,49152,19.55555534
1741116776,50688,19.90335464
1741121984,52224,20.06349945
1741127192,53760,19.96233559
1741132297,55296,19.95279694
1741137553,56832,20.11515045
1741142674,58368,20.3000946
1741147485,59904,20.19020653
1741152624,61440,20.17594337
1741157679,62976,20.44406891
1741162749,64512,20.41243172
1741168026,66048,20.08008575
1741173310,67584,20.17185593
1741176528,69120,20.53464699
1741179400,70656,20.51004601
1741184773,72192,20.22967911
1741190131,73728,20.12464333
1741195415,75264,20.3612957
1741200667,76800,20.44083977
1741205916,78336,20.58078003
1741211180,79872,20.58078003
1741216433,81408,20.54701614
1741221692,82944,20.59983253
1741226941,84480,20.63232613
1741232196,86016,20.63232613
1741236491,87552,20.30963707
1741239775,89088,20.25663948
1741244873,90624,20.51433754
1741250602,92160,20.56949043
1741255210,93696,20.60693741
1741260197,95232,20.6047821
1741263292,96768,20.30909348
1741265919,98304,20.31054688
1741268522,99840,20.59455109
1741271148,101376,20.59382439
