Step,Value
1536,10.38045597
3072,13.17753792
4608,15.06745815
6144,14.89971447
7680,16.35134506
9216,11.93794155
10752,16.55419922
12288,16.54669189
13824,14.3686409
15360,16.03203392
16896,18.09916115
18432,16.50069427
19968,16.60428047
21504,16.5589962
23040,17.88977051
24576,14.96930695
26112,17.69873238
27648,16.25366783
29184,16.20640945
30720,15.42511082
32256,16.24878311
33792,16.80674171
35328,17.5880127
36864,18.00416565
38400,17.69139862
39936,18.18854713
41472,18.46050453
43008,18.55620384
44544,18.58315086
46080,18.97564507
47616,19.38126373
49152,19.55555534
50688,19.90335464
52224,20.06349945
53760,19.96233559
55296,19.95279694
56832,20.11515045
58368,20.3000946
59904,20.19020653
61440,20.17594337
62976,20.44406891
64512,20.41243172
66048,20.08008575
67584,20.17185593
69120,20.53464699
70656,20.51004601
72192,20.22967911
73728,20.12464333
75264,20.3612957
76800,20.44083977
78336,20.58078003
79872,20.58078003
81408,20.54701614
82944,20.59983253
84480,20.63232613
86016,20.63232613
87552,20.30963707
89088,20.25663948
90624,20.51433754
92160,20.56949043
93696,20.60693741
95232,20.6047821
96768,20.30909348
98304,20.31054688
99840,20.59455109
101376,20.59382439
