Wall time,Step,Value
1742312821,200,-17.66724968
1742312838,400,-12.1639576
1742312855,600,-8.668619156
1742312981,800,-7.166361332
1742313000,1000,-6.256119251
1742313106,1200,-4.712385178
1742313226,1400,-5.510345936
1742313299,1600,-4.490302563
1742313345,1800,-4.424701691
1742313359,2000,-3.135686874
1742313373,2200,-1.397895217
1742313388,2400,-1.722072244
1742313402,2600,-0.485438675
1742313415,2800,-2.486203671
1742313429,3000,-1.09558773
1742313442,3200,0.660933197
1742313457,3400,-1.663297415
1742313471,3600,0.585987031
1742313484,3800,0.051847171
1742313498,4000,1.561703682
1742313513,4200,0.940081954
1742313527,4400,0.110031709
1742313542,4600,0.237524167
1742313558,4800,0.889025509
1742313575,5000,-0.355747223
1742313631,5200,0.579391479
1742313689,5400,0.630864024
1742313765,5600,0.666522145
1742313788,5800,2.627459764
1742313805,6000,1.285026312
1742313821,6200,2.617577791
1742313836,6400,1.367052555
1742313849,6600,0.00782877
1742313863,6800,-0.667902231
1742313877,7000,1.036060214
1742313890,7200,1.423338056
1742313903,7400,3.256291151
1742313917,7600,5.341029644
1742313931,7800,4.941412926
1742313944,8000,5.094830036
1742313958,8200,5.709301949
1742313971,8400,4.90412569
1742313984,8600,4.499749184
1742313997,8800,3.395389795
1742314011,9000,3.017212629
1742314024,9200,4.283801079
1742314037,9400,3.978412151
1742314050,9600,6.363768578
1742314064,9800,6.254138947
1742314077,10000,5.414823055
1742314091,10200,5.75950098
1742314105,10400,1.817949533
1742314119,10600,-0.750579953
1742314133,10800,-0.128698274
1742314146,11000,1.163834095
1742314159,11200,3.571294308
1742314173,11400,5.11770153
1742314187,11600,3.196314573
1742314200,11800,2.840652943
1742314213,12000,2.911550522
1742314228,12200,0.775070488
1742314241,12400,4.370354176
1742314255,12600,3.484406948
1742314269,12800,4.054133892
1742314283,13000,5.876965523
1742314297,13200,6.790357113
1742314311,13400,6.122606754
1742314325,13600,7.424274445
1742314339,13800,6.547219753
1742314353,14000,4.302100182
1742314385,14200,6.320917606
1742314427,14400,3.015280724
1742314454,14600,4.329319
1742314467,14800,3.765146494
1742314481,15000,3.031743765
1742314494,15200,3.849843264
1742314509,15400,1.696825266
1742314522,15600,1.474418402
1742314536,15800,2.979594469
1742314549,16000,1.628414273
1742314562,16200,5.182906151
1742314576,16400,3.872363329
1742314590,16600,2.613640547
1742314604,16800,3.511514902
1742314618,17000,2.627157688
1742314631,17200,6.15060091
1742314644,17400,6.592169285
1742314658,17600,5.576550961
1742314672,17800,1.535461783
1742314686,18000,-1.196846962
1742314699,18200,-1.138777971
1742314713,18400,2.022699356
1742314726,18600,4.744370461
1742314739,18800,7.006270885
1742314753,19000,5.242342472
1742314766,19200,6.127067089
1742314779,19400,7.427199364
1742314793,19600,7.180594444
1742314806,19800,5.768234253
1742314820,20000,6.659566879
1742314833,20200,6.406867027
1742314846,20400,6.474125385
1742314860,20600,5.684222221
1742314872,20800,9.242175102
1742314887,21000,1.573629856
1742314901,21200,0.141356125
1742314916,21400,-6.602506161
1742314930,21600,-5.180740356
1742314944,21800,-6.984243393
1742314959,22000,-5.180740356
1742314973,22200,-6.998712063
1742314987,22400,-5.267940521
1742315001,22600,-4.358906269
1742315016,22800,-4.02105999
1742315049,23000,-3.904825211
1742315082,23200,-2.584922314
1742315098,23400,-2.084396124
1742315118,23600,0.223949373
1742315131,23800,1.614190936
1742315143,24000,5.19114399
1742315156,24200,10.12590981
1742315170,24400,13.21239185
1742315196,24600,8.652687073
1742315210,24800,1.845841408
1742315224,25000,-4.033669949
1742315239,25200,-7.1002841
1742315254,25400,-7.980381012
1742315274,25600,-8.831152916
1742315291,25800,-5.355237961
1742315309,26000,-3.991734743
1742315327,26200,-3.523088217
1742315344,26400,-2.958899736
1742315362,26600,-0.196085617
1742315379,26800,2.980539322
1742315396,27000,5.710099697
1742315440,27200,7.027524471
1742315461,27400,2.474592686
1742315492,27600,-0.274641991
1742315522,27800,-5.294129848
1742315540,28000,-4.385192394
1742315556,28200,-3.025747299
1742315572,28400,1.967184544
1742315591,28600,3.805121422
1742315610,28800,7.433079243
1742315633,29000,10.54191971
1742315647,29200,11.86447334
1742315666,29400,10.91825771
1742315696,29600,4.146831512
1742315711,29800,-3.931596518
1742315727,30000,-7.028813362
1742315741,30200,-6.090744495
1742315756,30400,-6.970065594
1742315770,30600,-3.853655338
1742315791,30800,-3.525985241
1742315805,31000,-0.670953393
1742315818,31200,1.757330298
1742315832,31400,0.652689278
1742315851,31600,3.390947342
1742315864,31800,2.48491478
1742315878,32000,2.505259991
1742315899,32200,4.83974123
1742315913,32400,4.434533596
1742315931,32600,4.916286469
1742315944,32800,6.481596947
1742315958,33000,1.563630819
1742315974,33200,-1.614444971
1742315993,33400,-7.90813446
1742316008,33600,-6.970162392
1742316028,33800,-6.57395649
1742316043,34000,-5.181516171
1742316063,34200,-7.791996479
1742316080,34400,-5.10152626
1742316099,34600,-1.516663194
1742316112,34800,2.745145798
1742316136,35000,5.768903255
1742316149,35200,6.647002697
1742316164,35400,5.358664513
1742316178,35600,5.546266556
1742316191,35800,6.532397747
1742316204,36000,8.328537941
1742316223,36200,5.608430862
1742316238,36400,1.080508113
1742316253,36600,-3.874610662
1742316267,36800,-3.46492219
1742316282,37000,-3.875499964
1742316297,37200,-3.962506294
1742316316,37400,-3.889677763
1742316338,37600,-4.344631195
1742316352,37800,-4.711899757
1742316367,38000,-4.272384644
1742316382,38200,-6.046465397
1742316396,38400,-6.104631424
1742316416,38600,-5.707940578
1742316432,38800,-6.133762836
1742316452,39000,-3.024922132
1742316472,39200,-1.661806941
1742316502,39400,-1.662000895
1742316520,39600,-3.905019283
1742316535,39800,-2.995984793
1742316555,40000,-2.584340334
1742316570,40200,-1.206853271
1742316589,40400,-0.810647488
1742316604,40600,-1.67598474
