Step,Value
200,-17.1002636
400,-13.72975445
600,-15.492136
800,-13.6773243
1000,-10.89479828
1200,-7.635842323
1400,-4.358644009
1600,-1.099629879
1800,0.877075434
2000,3.814108849
2200,5.026026249
2400,5.745527267
2600,6.304179192
2800,7.510652065
3000,8.220504761
3200,6.988757133
3400,4.187819481
3600,4.627819538
3800,6.451908588
4000,7.445126534
4200,5.685152531
4400,6.120025635
4600,7.000025749
4800,5.240901947
5000,6.097028732
5200,6.537028313
5400,6.97702837
5600,7.416152477
5800,6.522007465
6000,6.923590183
6200,5.139742851
6400,6.497760773
6600,6.497735023
6800,7.885126591
7000,10.07999992
7200,7.440000057
7400,10.07999992
7600,8.723982811
7800,7.403983116
8000,8.283983231
8200,8.289110184
8400,7.005126476
8600,8.325126648
8800,7.880000114
9000,10.96000004
9200,11.84000015
9400,9.199999809
9600,7.0
9800,3.480000019
10000,1.720876098
10200,3.04087615
10400,5.680876255
10600,8.760000229
10800,7.880000114
11000,5.679999828
11200,4.800000191
11400,5.239999771
11600,10.52000046
11800,10.07999992
12000,9.640000343
12200,7.440000057
12400,8.760000229
12600,8.760000229
12800,8.760000229
13000,7.440000057
13200,5.239999771
13400,6.119999886
13600,6.119999886
13800,7.880000114
14000,6.119999886
14200,6.094047546
14400,3.014047623
14600,3.014047623
14800,4.339174271
15000,3.004141331
15200,4.324141502
15400,2.564141512
15600,3.920000076
15800,2.599999905
16000,4.800000191
16200,5.679999828
16400,9.640000343
16600,8.319999695
16800,7.880000114
17000,6.519014835
17200,5.639014721
17400,6.519014835
17600,8.719015121
17800,7.880000114
18000,6.119999886
18200,7.0
18400,8.319999695
18600,7.0
18800,6.559999943
19000,6.559999943
19200,6.559999943
19400,7.0
19600,7.0
19800,6.119999886
20000,8.760000229
20200,5.679999828
20400,4.800000191
20600,5.239999771
20800,4.800000191
21000,1.501972437
21200,0.180177793
21400,0.92345947
21600,3.531834841
21800,1.325985312
22000,-0.965405464
22200,-0.03046125
22400,0.445187688
22600,-0.059454162
22800,-2.061935425
23000,-1.011087179
23200,1.068583369
23400,2.126907825
23600,4.770699978
23800,4.820012569
24000,5.940327168
24200,9.574748993
24400,11.98572445
24600,15.53372288
24800,16.40714836
25000,17.37063026
25200,17.37589073
25400,18.73703384
25600,17.73523331
25800,15.78557682
26000,14.67218018
26200,13.97725201
26400,12.96108913
26600,14.16304111
26800,15.50132942
27000,17.16611099
27200,20.52564812
27400,21.20847511
27600,19.29329681
27800,18.74654007
28000,18.92743301
28200,18.01987076
28400,17.85308266
28600,20.20338631
28800,21.10913849
29000,19.94205666
29200,20.68999481
29400,21.31699181
29600,21.4076786
29800,21.11677361
30000,22.41241837
30200,22.76428986
30400,22.87228394
30600,22.632658
30800,21.66425323
31000,22.16234398
31200,21.77119446
31400,21.98013115
31600,22.01081848
31800,21.65138054
32000,22.22982788
32200,22.33080101
32400,23.3210125
32600,23.44082642
32800,23.17051315
33000,23.8012867
33200,23.45094109
33400,22.35378838
33600,22.03017044
33800,21.79054642
34000,21.31129456
34200,20.94276619
34400,22.29838371
34600,21.90312576
34800,22.02293968
35000,19.95115852
35200,18.51827812
35400,16.31284523
35600,15.501647
35800,15.70955944
36000,15.45109463
36200,18.15461731
36400,20.23114395
36600,21.16215515
36800,20.95424271
37000,21.22179985
37200,21.20295906
37400,20.84352112
37600,21.11108017
37800,20.72370911
38000,20.96333504
38200,22.38819122
38400,22.62781715
38600,23.10706711
38800,23.01518822
39000,22.41612434
39200,21.41988373
39400,18.19246292
39600,16.72157669
39800,16.20589066
40000,15.12012672
40200,13.26438522
40400,12.79576683
40600,11.33309364
40800,13.9067297
41000,14.00719738
41200,15.14430714
41400,14.92782974
41600,15.7585268
41800,17.44885826
42000,19.01164627
42200,19.58463478
42400,18.66809273
42600,19.44113541
42800,20.20231247
43000,20.22428703
43200,20.1108532
43400,20.63687897
43600,21.36450577
43800,21.31097412
44000,20.86363792
44200,21.48393822
44400,20.87901306
44600,20.88237762
44800,20.78705978
45000,20.6427536
45200,21.00260925
45400,20.67470551
45600,20.10569
45800,19.92936134
46000,20.75230598
46200,20.77717972
46400,20.71554756
46600,19.17536354
46800,19.83851242
47000,19.80371666
47200,18.28434181
47400,18.31385803
47600,17.26587486
47800,18.12128448
48000,18.32888222
48200,17.49971199
48400,17.85729599
48600,18.00640678
48800,18.39271355
49000,19.16607857
49200,18.89665985
49400,20.05376053
49600,20.82828712
49800,20.97975922
50000,20.47218895
50200,19.49329758
50400,19.64241028
50600,19.94413567
50800,19.49928665
51000,19.0487175
51200,19.85538673
51400,20.15059853
51600,19.82958603
51800,19.77200127
52000,19.94655609
52200,20.48278618
52400,20.27609062
52600,20.40015221
52800,20.69235992
53000,20.98210716
53200,21.34056473
53400,18.53945732
53600,13.96175671
53800,12.01737309
54000,10.87133598
54200,10.67380142
54400,10.54138565
54600,10.07524776
54800,10.09219933
55000,8.550067902
55200,8.435338974
55400,6.038759708
55600,3.807200909
55800,0.317777336
56000,-0.705380619
56200,-1.081482291
56400,-3.910214663
56600,-3.818477869
56800,-0.253365636
57000,8.804737091
57200,14.01273727
57400,15.23498917
57600,14.44483566
57800,17.89409637
58000,19.01198196
58200,20.30983925
58400,19.44892693
58600,20.53000259
58800,22.42453957
59000,21.8227005
59200,21.37706566
59400,21.13527679
59600,21.10585594
59800,21.60746956
60000,21.72794151
60200,21.51989365
60400,20.49949074
60600,18.48862839
60800,18.54331207
61000,16.87599373
61200,16.72553444
61400,16.10290337
61600,16.94311905
61800,17.77011871
62000,18.56904602
62200,18.80484009
62400,17.03544426
62600,16.58213615
62800,16.48555946
63000,16.4863739
63200,17.1649456
63400,18.40753365
63600,19.58273697
63800,19.72999573
64000,21.25615883
64200,22.38739967
64400,22.65649796
64600,22.5795269
64800,23.21574593
65000,23.21574593
65200,23.00064468
65400,22.28072166
65600,22.40070915
65800,23.00064468
66000,20.73202515
66200,14.54070282
66400,9.505372047
66600,4.732607365
66800,2.182433844
67000,4.907897949
67200,5.721164227
67400,7.179751396
67600,6.559999943
67800,8.760000229
68000,10.07999992
68200,9.199999809
68400,11.39999962
68600,7.880000114
68800,8.319999695
69000,8.760000229
69200,10.07999992
69400,12.27999973
69600,12.27999973
69800,13.15999985
70000,14.92000008
70200,14.03999996
70400,14.47999954
70600,10.96000004
70800,9.199999809
71000,7.0
71200,5.239999771
71400,7.0
71600,7.440000057
71800,7.440000057
72000,9.199999809
72200,6.559999943
72400,7.880000114
72600,7.880000114
72800,6.559999943
73000,4.360000134
73200,5.679999828
73400,6.559999943
73600,9.199999809
73800,12.27999973
74000,10.96000004
74200,9.199999809
74400,7.0
74600,4.360000134
74800,5.239999771
75000,5.239999771
75200,5.239999771
75400,8.319999695
75600,8.760000229
75800,9.640000343
76000,7.0
76200,3.480000019
76400,3.920000076
76600,5.679999828
76800,7.440000057
77000,7.880000114
77200,9.640000343
77400,11.39999962
77600,11.39999962
77800,10.52000046
78000,8.760000229
78200,8.760000229
78400,7.880000114
78600,9.199999809
78800,7.880000114
79000,6.119999886
79200,5.679999828
79400,2.160000086
79600,4.360000134
79800,3.920000076
80000,5.679999828
80200,6.559999943
80400,5.239999771
80600,3.920000076
80800,3.480000019
81000,6.119999886
81200,5.679999828
81400,5.679999828
81600,3.480000019
81800,3.920000076
82000,3.480000019
82200,3.039999962
82400,3.920000076
82600,4.360000134
82800,4.800000191
83000,7.0
83200,7.0
83400,8.760000229
83600,9.199999809
83800,7.880000114
84000,6.119999886
84200,5.679999828
84400,6.119999886
84600,6.559999943
84800,10.07999992
85000,9.640000343
85200,9.640000343
85400,7.880000114
85600,9.199999809
85800,9.199999809
86000,8.760000229
86200,9.640000343
86400,9.199999809
86600,7.880000114
86800,4.360000134
87000,3.480000019
87200,3.920000076
87400,5.239999771
87600,6.559999943
87800,5.239999771
88000,7.440000057
88200,7.880000114
88400,7.880000114
88600,9.199999809
88800,8.319999695
89000,7.0
89200,9.199999809
89400,7.0
89600,6.559999943
89800,5.679999828
90000,4.360000134
90200,2.160000086
90400,1.279999971
90600,3.480000019
90800,3.039999962
91000,3.920000076
91200,4.800000191
91400,3.480000019
91600,4.360000134
91800,6.559999943
92000,7.0
92200,7.440000057
92400,6.559999943
92600,6.559999943
92800,8.319999695
93000,8.319999695
93200,10.96000004
93400,11.39999962
93600,8.760000229
93800,10.52000046
94000,8.319999695
94200,7.0
94400,6.119999886
94600,7.440000057
94800,12.27999973
95000,12.27999973
95200,10.96000004
95400,9.640000343
95600,8.319999695
95800,7.880000114
96000,6.119999886
96200,2.599999905
96400,2.599999905
96600,3.039999962
96800,6.119999886
97000,7.440000057
97200,8.319999695
97400,6.119999886
97600,4.800000191
97800,6.559999943
98000,7.440000057
98200,8.760000229
98400,11.39999962
98600,8.760000229
98800,10.96000004
99000,10.07999992
99200,9.640000343
99400,10.07999992
99600,10.07999992
99800,8.760000229
100000,7.0
