Wall time,Step,Value
1745309092,800,-11.6291132
1745309135,1600,-8.836233139
1745309177,2400,-5.632844925
1745309220,3200,-0.719510078
1745309261,4000,-2.724197865
1745309301,4800,3.466573
1745309341,5600,-4.556893826
1745309381,6400,2.14345932
1745309421,7200,-2.504231691
1745309461,8000,-0.69751966
1745309502,8800,-0.736325443
1745309542,9600,1.391296744
1745309581,10400,4.191337585
1745309622,11200,3.621194363
1745309662,12000,2.547839642
1745309701,12800,4.039404392
1745309741,13600,-1.104964852
1745309780,14400,-1.485230446
1745309821,15200,-2.537268877
1745309860,16000,1.668737292
1745309899,16800,3.256157398
1745309939,17600,2.063086033
1745309979,18400,0.934171677
1745310018,19200,0.665059388
1745310058,20000,-0.984434724
1745310096,20800,3.633952618
1745310135,21600,0.222194135
1745310175,22400,-0.832363486
1745310213,23200,1.765715361
1745310254,24000,0.860437393
1745310293,24800,1.179778218
1745310332,25600,4.438618183
1745310370,26400,1.065986991
1745310410,27200,4.421873093
1745310450,28000,-0.145335838
1745310490,28800,3.219941616
1745310528,29600,5.384490013
1745310568,30400,3.258096933
1745310607,31200,2.544624567
1745310646,32000,2.810821295
1745310685,32800,4.123544693
1745310726,33600,5.902433395
1745310765,34400,4.234871864
1745310804,35200,3.934165716
1745310844,36000,2.458777666
1745310884,36800,4.793787003
1745310923,37600,0.068340227
1745310962,38400,3.367756605
1745311001,39200,5.81593895
1745311041,40000,2.445100546
1745311079,40800,-1.953197837
1745311118,41600,1.639238238
1745311159,42400,1.210456014
1745311198,43200,-0.196311712
1745311237,44000,5.746649265
1745311277,44800,1.375290155
1745311316,45600,5.819627285
1745311356,46400,-0.792901993
1745311393,47200,5.404474735
1745311434,48000,0.489493668
1745311473,48800,2.663205862
1745311512,49600,5.283377171
1745311551,50400,2.095754862
1745311589,51200,3.165379524
1745311628,52000,1.384174109
1745311667,52800,2.05561161
1745311706,53600,-1.883456469
1745311746,54400,1.550602794
1745311785,55200,2.729530096
1745311824,56000,4.86464119
1745311863,56800,1.111276269
1745311902,57600,0.853545845
1745311940,58400,3.281921387
1745311978,59200,3.615362883
1745312017,60000,3.5992167
1745312056,60800,0.866726577
1745312095,61600,-2.198034763
1745312134,62400,-0.741479993
1745312174,63200,-0.307583809
1745312214,64000,-1.989807367
1745312253,64800,4.720613003
1745312293,65600,0.568040431
1745312333,66400,-0.327039361
1745312371,67200,5.877345562
1745312410,68000,3.198164463
1745312449,68800,0.353606999
1745312488,69600,3.904357672
1745312530,70400,2.80204463
1745312569,71200,-0.842876196
1745312608,72000,4.312892437
1745312647,72800,6.651115417
1745312686,73600,6.966238022
1745312725,74400,2.185012579
1745312764,75200,-3.182207346
1745312803,76000,2.518398285
1745312843,76800,0.099975049
1745312882,77600,1.284118414
1745312921,78400,1.556275964
1745312961,79200,0.918081582
1745313001,80000,2.452125311
1745313040,80800,4.027307034
1745313079,81600,-1.161715865
1745313117,82400,2.041297197
1745313157,83200,3.482546091
1745313196,84000,2.780089617
1745313236,84800,4.178765297
1745313276,85600,2.135933161
1745313315,86400,1.75713706
1745313355,87200,-0.833628476
1745313396,88000,1.672574282
1745313435,88800,5.325979233
1745313475,89600,2.605468988
1745313515,90400,2.368319988
1745313554,91200,0.743182123
1745313594,92000,4.588542461
1745313633,92800,4.644714832
1745313672,93600,2.2871387
1745313711,94400,2.597786665
1745313749,95200,5.386100769
1745313787,96000,0.717820525
1745313827,96800,0.977367401
1745313864,97600,3.817535162
1745313903,98400,5.46612215
1745313942,99200,4.242587566
1745313981,100000,-1.866819263
