Step,Value
800,-7.689238548
1600,-6.464217663
2400,-1.754205942
3200,0.913142264
4000,1.515112996
4800,1.79266417
5600,3.28889823
6400,-0.254852563
7200,-2.29595089
8000,4.181603432
8800,2.227859735
9600,-0.23560679
10400,-0.210585669
11200,3.123728752
12000,3.404093027
12800,-1.493879318
13600,2.483670235
14400,1.367659569
15200,2.320187807
16000,1.773171663
16800,0.50981462
17600,1.702909231
18400,2.30622077
19200,2.807887316
20000,0.662610829
20800,4.879299164
21600,9.05757618
22400,1.832159519
23200,6.362855434
24000,-0.221921623
24800,1.531213284
25600,1.561017871
26400,4.028360844
27200,0.514684379
28000,0.775605261
28800,-0.553067088
29600,4.868163586
30400,1.922962785
